Text,Topic
"Mbyllet në barazim sfida mes Laçit dhe Partizanit, “paqe” në Kurbin",spo
"Napoli nuk del nga kriza, “Azzurrit” shkatërrohen në “Maradona Stadium” nga Atalanta",spo
"Italia merr vendimin historik, futbollistët shqiptarë do të trajtohen si vendas",spo
"Ndeshje direkt për titull ndaj Arsenalit, Guardiola humbet dy titullarë",spo
"Refuzoi Liverpulin dhe Bayernin, Alonso: “Leverkusen është klubi i duhur për mua”",spo
"Carlos Alcaraz eliminohet nga Miami ATP, bullgari Grigor Dimitrov bën befasinë",spo
"“U largova nga futbolli pasi nuk e njihja më”,Klose: Të rinjtë e kanë mendjen tek makinat",spo
"Dani Alves, festë të “çmendur” pas lirimit nga burgu",spo
"Richarlison flet mbi depresionin: “Për pak u dorëzova, ky person më shpëtoi jetën”",spo
"Felipe Melo: “Dani Alves dhe Robinho duhet të burgosen, unë do të hakmerresha”",spo
"U largua nga fusha gjatë ndeshjes me Kilin, Camavinga mëson shkallën e dëmtimit",spo
"“Veteran” në fushën e lojës, Mario Mitajn e pret një e ardhme e ndritur",spo
"Fazë rinovimesh tek Real Madridi, Kroos besnik deri në vitin 2025 me “Los Blancos”",spo
"EURO 2024, Superkompjuteri zbulon shanset dhe pretendentët kryesorë",spo
"Polonia merr biletën e fundit për në Europian dhe mposht Uellsin pas 11-metërshave",spo
"Mbyllet në barazim sfida mes Anglisë dhe Belgjikës, Bellingham shmang humbjen e “Luanëve”",spo
"Përmbysje spektakolare ndaj Islandës, Mudryk dërgon Ukrainën në EURO 2024",spo
"Historike/ Gjeorgjia mposht Greqinë pas 11-metërshave dhe shkon në grupet e EURO 2024",spo
"Episodi i rracizmit me Juan Jesus, gjykata sportive jep vendimin për Acerbi",spo
"Problem pas problem tek Mercedesi, Toto Wolff: “Më vjen të godas veten me grusht”",spo
"I kritikuar nga legjenda e Milanit, reagon Lautaro: “Nuk të mjaftoi goli në Champions?”",spo
"Veliaj pret nënkampionin e Europës, Kristi Ramadani: Na ke bërë krenar",spo
"“I trishtuar për rezultatin”/ Trajneri Sylvinho: Grupi ka ankth për listën e Europianit",spo
"Kambana alarmi në Kombëtare, vetëm një goditje në portë në 180 minuta",spo
"Shqipëria bie në Suedi, kuqezinjtë pësojnë humbje dinjitoze në Stokholm",spo
"Ramadani: “Ndaj Suedisë të hyjmë për fitore, skuadra vjen e para”",spo
"Në kërkim të një klubi, Mourinho: “Futbolli është jeta ime, mund të punoj me çdo klub”",spo
"F1/ Carlos Sainz triumfon në Çmimin e madh të Australisë, Ferrari “skuq” podiumin",spo
"Gjermania “vallëzon” dhe mposht pastër Francën në Lyon",spo
"Endrick i jep fitoren Brazilit ndaj Anglisë,  “Luanët” bien  në Wembley pas 21 ndeshjesh",spo
"Laporta nuk dorëzohet për Superligën: “Do të kishim fituar shumë para”",spo
"Shqipëria “bie” në Parma, Kili i jep “leksion” kuqezinjve të Sylvinhos",spo
"Kosova triumfon minimalisht ndaj Armenisë, Foda e nis “mbarë” në pankinën e dardanëve",spo
"Formacionet zyrtare të sfidës Shqipëri-Kili, “Kuqezinjtë” luajnë për fitore",spo
"Transferimi i Mbappe “lëkund” vendin e Rodrygos, braziliani drejt Premier League-s",spo
"Gjermania kalon tek Nike pas 70 vitesh, Adidas: “U lajmëruam ditën që u publikua lajmi”",spo
"“Si ta ndihmojmë Silvinjon me një humbje”",spo
"Lojtarët më të paguar në ligën franceze/ Mbappe tjetër nivel, dominon Paris Saint-Germain",spo
"Max Verstappen nuk e mohon një të ardhme tek Mercedesi, holandezi “joshet” nga Toto Wolff",spo
"VIDEO/ Sfida miqësore me Kilin, Kombëtarja mbërrin në Parma të Italisë",spo
"Musiala merr numrin 10-të tek Gjermania: “Ka qënë gjithmonë një endërr, ndihem si lider”",spo
"Lirimi i Dani Alves nga burgu, presidenti i Brazilit: “Është kriminel”",spo
"Manaj pas rikthimit në Kombëtare: Jam gati për Europianin",spo
"Një italian në pankinën e Bayernit, bavarezët përgatisin ofertën e radhës",spo
"Berisha lëndohet dhe humbet sfidën ndaj Kilit, Sylvinho fton portierin e Superiores",spo
"U lirua nga burgu, zbulohet personi që pagoi një milion euro për garancinë e Dani Alvesit",spo
"Giroud drejt Amerikës, Milan hidhet në sulm për të gjetur zëvendësuesin e tij",spo
"Shkeljet e Fair-Play financiar, City dhe Chelsea rrezikojnë rënien nga kategoria",spo
"Vendim befasues, Gjykata liron Dani Alves, por duhet të paguajë një garanci të majme",spo
"Pique i befason të gjithë: Xavi nuk largohet nga Barcelona",spo
"U rikthye tek Gjermania pas 3 vitesh, Kroos: “Pres me padurim Europianin”",spo
"“Fatkeqësi” tek Real Madridi, portieri belg Courtois dëmton meniskun dhe mbyll sezonin",spo
"Jim Ratcliffe: “Blerja e Mbappe nuk është diçka e zgjuar, United ka shpenzuar pa masë”",spo
"Trendit më viral të Tik-Tok në Shqipëri i bashkohen dhe djemtë e kombëtares (Video)",spo
"Lëndohet Lionel Messi, “pleshti” mungon në ndeshjet e Argjentinës gjatë muajit mars",spo
"Theu rregullat e Fair-Play Financiar, klubit të Premier League-s i hiqen katër pikë",spo
"Çmenduri në kampionatin turk, tifozët futen në fushë dhe dhunojnë lojtarët e Fenerbahces",spo
"Carlos Alcaraz mposht pastër Medvedev-in në finale dhe shpallet kampion i Indiana Wells",spo
"Barcelona shkatërron Atleticon në “Wanda Metropolitano” dhe merr vendin e dytë në La Liga",spo
"VIDEO/ Napoli ndal Interin në Serie A dhe merr barazimin në “Giuseppe Meazza”",spo
"Dramë në “Old Trafford”, Manchester United përmbys dhe fundos Liverpoolin",spo
"VIDEO/ Zhbllokohet derbi anglez, McTominay kalon në avantazh United",spo
"Mbijetesa tani mision i mundur, Kukësi mposht pastër Vllazninë",spo
"Indian Wells/ Carlos Alcaraz mposht me përmbysje Sinner dhe prek finalen e turneut",spo
"Sporti në zi/ Ndahet nga jeta ikona e futbollit shqiptar (EMRI+FOTO)",spo
"VIDEO/ Lazio rikthehet tek fitorja në Serie A dhe triumfon me përmbysje ndaj Frosinones",spo
"Rashica dhe Muçi shkëlqejnë me Besiktashin, marrin notën më të lartë të skuadrës",spo
"VIDEO/ Manchester City mposht pastër Newcastle dhe siguron gjysmëfinalen e FA Cup",spo
"Superiorja/ Egnatia nuk di të fitojë, Partizani bie në “Niko Dovana” ndaj Teutës",spo
"Real Madridi bind dhe triumfon me “poker” në transfertën e Osansunës",spo
"Prag derbi/ Mehmeti: “Jemi të motivuar ndaj Tiranës, gati për të dhënë maksimumin”",spo
"Simeone bëhet me “dhimbje koke”, mbrojtësi dëmtohet gjatë festimeve të kualifikimit",spo
"Basketbolli kanadez në zi, humbet jetën vëllai i yllit të Toronto Raptors RJ Barret",spo
"Befason nëna e Jerome Boateng: “Djali im abuzon me gratë”",spo
"Ancelotti: “Nuk mendojmë për hakmarrje ndaj Cityt, duam të kualifikohemi”",spo
"Shorti/ Guardiola: “Kjo sfidë duket si traditë, luajmë ndaj mbretërve të kompeticionit”",spo
"Shorti i çerekfinaleve të Champions League, finale e parakohshme mes Realit dhe Cityt",spo
"Sylvinho publikon listën e kombëtares/ Rikthehet Broja, ngelet jashtë Daku",spo
"Sommer flet pas eliminimit: “Zhgënjim i madh, ja çfarë i premtuam njëri-tjetrit”",spo
"Dramë në “Wanda Metropolitano”, Atletico eliminon Interin pas gjuajtjeve të 11-metërshave",spo
"Dortmund mposht pastër PSV dhe kualifikohet në fazën çerekfinale",spo
"Komisioni i Disiplinës/ E pëson Tirana, Egnatia dhe Skënderbeu",spo
"Skandal në federatën e kamerunit, pezullohen 62 futbollistë",spo
"Dorëhiqet Maurizio Sarri, Lazio zyrtarizon pasuesin e tij në pankinë",spo
"Arsenali mposht Porton pas gjuajtjeve të 11-metërshave dhe kualifikohet në raundin tjetër",spo
"Barcelona mposht Napolin dhe kualifikohet në fazën çerekfinale",spo
"Në Spanjë e bëjnë të kryer, “AS” zbulon numrin që do të mbajë Mbappe tek Real Madridi",spo
"CR7 reagon pas eliminimit nga Champions League aziatike: “Do të kthehemi më të fortë”",spo
"Befasi në Indiana Wells ATP, Djokovic eliminohet nga tenisti 20-vjeçar italian",spo
"Chelsea rikthehet tek fitorja në Premier League dhe mposht Newcastle",spo
"Ronaldo Fenomeni: “E adhuroj mënyrën sesi luan Bellingham, Topi i Artë fitohet tek Reali”",spo
"Tifozët e Aston Villas dalin kundër Zaniolos: “Është një turp, kthejeni në Turqi”",spo
"Luis Enrique: “Situata e Mbappe? Strategjia ime nuk do të ndryshojë”",spo
"Ski/ Tjetër finale për Laura Colturin: “Do të bëj gjithçka për Shqipërinë”",spo
"“Vdes për fëmijë”, Luiza Gega: Mezi pres të bëhem nënë",spo
"VIDEO/ Roma i shpëton humbjes në frymën e fundit, verdhekuqtë në -3 nga zona Champions",spo
"Real Madrid shkatërron Celta Vigon dhe “vërsulet” drejt titullit kampion",spo
"Spektakël dhe emocione, mbyllet në barazim sfida mes Liverpool dhe Manchester City",spo
"Milan mposht minimalisht Empolin dhe konfirmon formën e mirë",spo
"Përballje titanësh, bota e futbollit kthen sytë në “Anfield” për sfidën Liverpool-City",spo
"Ngjarje tragjike/ Vritet ish-boksieri shqiptar në Gjermani",spo
"Arsenali triumfon ndaj Brentfordit dhe merr përkohësisht kryesimin e Premier League",spo
"VIDEO/ Inter mposht minimalisht Bolonjën, zikaltërit kthejnë sytë nga Championsi",spo
"F1/ Redbulli tregon forcën, Max Verstappen triumfon në Çmimin e Madh të Arabisë Saudite",spo
"VIDEO/ Bayern Munich i pamëshirshëm, bavarezët i shënojnë tetë gola Mainzit",spo
"Ancelotti: “Vinicius është lojtari më i persekutuar, e godasin gjatë gjithë kohës”",spo
"VIDEO/ I pandalshëm, Rey Manaj shënon supergolin e radhës në kampionatin turk",spo
"VIDEO/ Anthony Joshua triumfon me knockout ndaj Francis Ngannou në raundin e dytë",spo
"Christian Horner akuzon shefat e F1 dhe mediat për shfrytëzim",spo
"VIDEO/ Barcelona triumfon ndaj Majorkës, “magjia” e Yamal i jep fitoren katalanasve",spo
"VIDEO/ Kvaratskhelia nuk mjafton, Napoli ngec në ”Maradona Stadium” ndaj Torinos",spo
"Sarri i kundërpërgjigjet ashpër Moggi-t: “Një trajner si ty zbriti Juven drejt Serie B”",spo
"Carlos Sainz mbetet jashtë garës në Arabinë Saudite, ja kush do ta zëvendësojë",spo
"Rekord i ri në NBA, basketbollisti i Phoenix Suns shënon shtatë 3-piksha në 10 minuta",spo
"Haaland i kundërpërgjigjet Alexander-Arnold: “Jam këtu për një vit dhe kam fituar shumë”",spo
"Liverpool dominon dhe thyen lehtësisht Sparta Praguen, Leverkusen vijon pa humbje",spo
"VIDEO/ Roma shkatërron Brightonin në “Olimpico”, verdhekuqtë fluturojnë me De Rossin",spo
"E bujshme/ Mercedes përgatit transferimin më të madh në histori, e zbulon vetë Hamilton",spo
"Solskjaer: “Rikthimi i Ronaldos tek United ishte i gabuar, na ndryshoi atmosfera”",spo
"Usain Bolt thumbon Kylian Mbappen: “Edhe vajzat janë më të shpejta sesa ai”",spo
"Momente frike në NBA, basketbollisti 31-vjeçar humb ndjenjat dhe shembet në parket",spo
"Champions League/ Formacionet zyrtare të sfidës Real Madrid-Leipzig",spo
"Sarri: “Cikli i Lazios ka mbarruar, duhet revolucion në verë ose largohem”",spo
"Tirana në gjysmëfinale të Kupës së Shqipërisë, “ruleta” e penalltive ndihmon bardheblutë",spo
"Në “kulmin” e karrierës, Manaj pritet të grumbullohet nga Sylvinho për mdeshjet e marsit",spo
"Inzaghi komplimenton performancën e Asllanit: “Ka qënë perfekt”",spo
"Performancë fantastike ndaj Genoas, ja me çfarë note është vlerësuar Asllani",spo
"Arsenali luan “tenis” ndaj Sheff. United, “Topçinjtë” nuk i ndahen Cityt dhe Liverpulit",spo
"VIDEO/ Inter triumfon ndaj Genoas, Kristjan Asllani gjen golin e parë me zikaltërit",spo
"“Shpresoj të luaj sërish me Messin”, Neymar i shkel “syrin” Inter Miamit",spo
"Nuk fitojnë që prej tetorit, ultrasi i jep ultimatum Gjasulës dhe lojtarëve të Darmstadit",spo
"Barcelona humbet “krahët”, ja sa do të qëndrojnë jasht fushave Pedri dhe De Jong",spo
"Babai i Max Verstappen del kundër Horner-it: “Ka tension, ai luan rolin e viktimës”",spo
"“Hirushja” e Serie A, Bologna marshon drejt objektivit Champions",spo
"Ndeshje e luftuar në “San Mames”, mbyllet në barazim pa gola sfida Bilbao-Barcelona",spo
"VIDEO/ Napoli mposht Juventusin dhe merr fitoren e dytë radhazi në Serie A",spo
"Guardiola “thur” elozhe për Phil Foden: “Është lojtari më i mirë në Premier League”",spo
"Napoli pret Juventusin në “Diego Armando Maradona Stadium”, formacionet zyrtare",spo
"VIDEO/ Mançesteri vishet blu, Foden përmbys dhe “fundos” United",spo
"Leverkusen prek titullin kampion, “Aspirinat” mposhtin Kolnin dhe shkojnë +10 në kryesim",spo
"Formacionet zyrtare të derbit të Mançesterit mes Cityt dhe United",spo
"Askush si LeBron James, “Mbreti” arrin shifrën e 40 mijë pikëve në NBA",spo
"VIDEO/ Roma “fluturon” me De Rossin, verdhekuqtë shkatërrojnë Monzën në shtëpi",spo
"Spektakël në “Loro Boriçi”, Vllaznia dominon Tiranën dhe afrohet me kreun e Superiores",spo
"VIDEO/ Liverpool triumfon në frymën e fundit ndaj Forest, Tottenham mposht Crystal Palace",spo
"Sezon i ri dhe “zakon” i vjetër, Max Verstappen triumfon në Çmimin e Madh të Bahreinit",spo
"VIDEO/ Vazhdojnë punimet në super stadiumin, “Camp Nou” hap dyert në vitin 2026",spo
"“Karton i kuq” për kartonin blu, presidenti i FIFA-s reagon hapur kundër ndryshimeve",spo
"Tre kartonë të kuq në sfidën Lazio-Milan, Federata pezullon arbitrin Di Bello",spo
"Bayern Munich vendos çmimin e kartonit, Alphonso Davies do vetëm Realin",spo
"Pioli braktis konferencën për shtyp pas tensionit në Olimpico: “Pyetje e shëmtuar”",spo
"Paul Pogba reagon pas pezullimit: “Jam i tronditur dhe zemërthyer, do ta apeloj vendimin”",spo
"Thomas Tuchel i “tradhtuar” nga lojtarët: “Mund t’i dërgoni biletën trajnerit që doni”",spo
"Gjesti i shëmtuar ndaj tifozëve, Komiteti i Disiplinës dënon Cristiano Ronaldon",spo
"Karriera e Pogba drejt fundit, mesfushori francez dënohet me 4 vite pezullim për doping",spo
"VIDEO/ Inter nuk njeh rivalë në Serie A, 90 minuta të plota për Kristjan Asllanin",spo
"Nuk gabojnë ekipet “Big” në FA Cup/ Kualifikohen United, Chelsea dhe Liverpool",spo
"Formula 1/ Hamilton: Ndoqa instiktet për të zgjedhur Ferrarin, as prindërve nuk ua thashë",spo
"VIDEO/ Napoli rikthehet tek fitorja dhe shkatërron Sassuolon, Osimhen “rilind”",spo
"Miqësorja luhet në Parma, dalin në shitje biletat për sfidën Shqipëri-Kili",spo
"Ish-trajneri i Gjermanisë “refuzon” Bayernin: Nuk jam i interesuar",spo
"De Bruyne mendon largimin nga City, Guardiola: “Dua që Kevin të qëndrojë”",spo
"Klopp jep “bekimin”, Thiago Alcantara e mbyll aventurën me Liverpoolin",spo
"U dënua me 4 vite burg, Barcelona i heq statusin “legjendë” Dani Alvesit",spo
"E bujshme nga gazeta gjermane “Bild”, Bayern i beson pankinën ish-trajnerit të Realit",spo
"VIDEO/ Paulo Dybala “gjunjëzon” Torinon në “Olimpico”, Roma afrohet me zonën Champions",spo
"Vllaznia mposht Dinamon dhe “rrëmben” vendin e dytë, Tirana-Laçi mbyllet në barazim",spo
"“I kemi besuar dirigjencën e simfonisë tonë”, Ilir Daja rinovon me Ballkanin deri në 2026",spo
"Leao: Kohët e vështira krijojnë burra të fortë, kohët e lehta krijojnë burra të dobët!",spo
"Modric vjen nga stoli dhe i dhuron fitoren Realit, Los Blancos në distancë +8 nga Barça",spo
"Mbyllet në “paqe” sfida mes Milanit dhe Atalantës, Leao nuk mjafton për kuqezinjtë",spo
"E zëvendësoi në minutën e 65-të, Luis Enrique: “Duhet të mësohemi pa Mbappenë”",spo
"Inter nuk njeh limite, ziklatërit shkatërrojnë Leccen në ”Via del Mare”",spo
"Wembley “vishet” i kuq, Liverpool mposht Chelsean dhe ngre trofeun e Carabao Cup",spo
"Partizani pëson disfatë në Korçë, Skënderbeu mposht “Demat” dhe afrohet me Top 4-shen",spo
"Miqësorja Suedi-Shqipëri, ja kur dalin në shitje biletat",spo
"VIDEO/ Juventus merr një fitore spektakolare në frymën e fundit ndaj Frosinones",spo
"Rey Manaj i pandalshëm në Turqi, Sivasspor i vendos “çmimin” sulmuesit shqiptar",spo
"Leverkusen mposht Mainzin dhe marshon drejt titullit, gol spektakolar nga Granit Xhaka",spo
"Titulli kampion “çështje” e kryer, Inzaghi i beson Asllanit në rotacionin e Serie A",spo
"U transferua në merkaton e janarit, Bayern pritet të largojë anglezin në fundin e sezonit",spo
"Manchester United të pafat, “Djajtë” njoftojnë publikisht lëndimin e Rasmus Hojlund",spo
"Shorti i Conference League/ Përplasje “Big” mes Ajax dhe Aston Villas",spo
"Sporti në zi! Mbyll sytë përgjithmonë ish-lojtari i njohur (Emri)",spo
"Hakan Calhanoglu: “Jam mesfushori më i mirë në rolin tim, pastaj vjen Rodri dhe Kroos”",spo
"Toni Kroos njofton rikthimin në Kombëtare: “Do të luaj sërish për Gjermaninë”",spo
"Tifozët fitojnë “betejën”, në Gjermani tërhiqen nga fondet e huaja",spo
"“Turizëm me lekët e taksapaguesve”/ Erkand Qerimaj akuza të rënda’ kreut të Peshëngritjes",spo
"VIDEO/ Spektakël në “Estadio do Dragao”, Porto befason Arsenalin në fundin e sfidës",spo
"VIDEO/ Mbyllet në paqe sfida mes Napolit dhe Barcelonës, kualifikimi vendoset në Spanjë",spo
"VIDEO/ Liverpooli përmbys Lutonin në “Anfield” dhe ruan kryesimin e Premier League",spo
"Napoli pret Barcelonën në “Armando Maradona Stadium”, formacionet zyrtare",spo
"Një gardian për portën e katalanasve, Barcelona përgatit transferimin e 33-vjeçarit",spo
"Epokë e re për “Djajtë”, Sir Jim Ratcliffe është zyrtarisht aksioner i Man. United",spo
"Zyrtare/ Thomas Tuchel do të largohet nga Bayern Munich në fund të sezonit",spo
"Mbyllet në barazim sfida mes PSV dhe Dortmund, gjithçka vendoset në “Signal Iduna Park”",spo
"Champions League/ Formacionet zyrtare të sfidës PSV-Borussia Dortmund",spo
"Inter përplaset me Atletico Madrid në fazën e 1/8-ave, formacionet zyrtare",spo
"Nuk ka fitues në sfidën Teuta-Tirana, kualifikimi vendoset në “Air Albania”",spo
"Guardiola pendohet për “gjyqin” ndaj Kalvin Phillips: “I kërkoj falje”",spo
"Fantastike/ Real Madrid hedh sytë në Shqipëri, Arbeloa prezanton projektin e Tiranës",spo
"Një hap drejt gjysmëfinales së Kupës, Partizani triumfon minimalisht ndaj Kukësit",spo
"Futbolli në zi, ndahet nga jeta legjenda e futbollit gjerman",spo
"Rezultatet zhgënjyese të Tuchel në pankinë, CEO i Bayern jep vendimin publikisht",spo
"Në Spanjë “Marca” e bën të kryer: Mbappe ka firmosur me Real Madridin për pesë sezone",spo
